,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,img_seg_path,str_code,Unnamed: 0.1,Unnamed: 0,year,month,day,hour,minute,path_dyamond,UTC
0,0.0,0.0,0,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-16.nc,2016-8-4-8-0,159,159,2016,8,4,8,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000038400,17017.16
1,1.0,1.0,1,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-33.nc,2016-8-4-16-30,176,176,2016,8,4,16,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000042480,17017.33
2,2.0,2.0,2,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-20.nc,2016-8-4-10-0,163,163,2016,8,4,10,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000039360,17017.2
3,3.0,3.0,3,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-34.nc,2016-8-4-17-0,177,177,2016,8,4,17,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000042720,17017.34
4,4.0,4.0,4,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-36.nc,2016-8-4-18-0,179,179,2016,8,4,18,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000043200,17017.36
5,5.0,5.0,5,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-08.nc,2016-8-4-4-0,151,151,2016,8,4,4,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000036480,17017.08
6,6.0,6.0,6,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-29.nc,2016-8-4-14-30,172,172,2016,8,4,14,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000041520,17017.29
7,7.0,7.0,7,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-32.nc,2016-8-4-16-0,175,175,2016,8,4,16,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000042240,17017.32
8,8.0,8.0,8,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-03.nc,2016-8-4-1-30,146,146,2016,8,4,1,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000035280,17017.03
9,9.0,9.0,9,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-30.nc,2016-8-4-15-0,173,173,2016,8,4,15,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000041760,17017.3
10,10.0,10.0,10,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-21.nc,2016-8-4-10-30,164,164,2016,8,4,10,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000039600,17017.21
11,11.0,11.0,11,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-37.nc,2016-8-4-18-30,180,180,2016,8,4,18,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000043440,17017.37
12,12.0,12.0,12,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-31.nc,2016-8-4-15-30,174,174,2016,8,4,15,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000042000,17017.31
13,13.0,13.0,13,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-18.nc,2016-8-4-9-0,161,161,2016,8,4,9,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000038880,17017.18
14,14.0,14.0,14,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-39.nc,2016-8-4-19-30,182,182,2016,8,4,19,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000043920,17017.39
15,15.0,15.0,15,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-07.nc,2016-8-4-3-30,150,150,2016,8,4,3,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000036240,17017.07
16,16.0,16.0,16,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-48.nc,2016-8-5-0-0,191,191,2016,8,5,0,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000046080,17017.48
17,17.0,17.0,17,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-23.nc,2016-8-4-11-30,166,166,2016,8,4,11,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000040080,17017.23
18,18.0,18.0,18,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-09.nc,2016-8-4-4-30,152,152,2016,8,4,4,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000036720,17017.09
19,19.0,19.0,19,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-42.nc,2016-8-4-21-0,185,185,2016,8,4,21,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000044640,17017.42
20,20.0,20.0,20,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-12.nc,2016-8-4-6-0,155,155,2016,8,4,6,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000037440,17017.12
21,21.0,21.0,21,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-10.nc,2016-8-4-5-0,153,153,2016,8,4,5,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000036960,17017.1
22,22.0,22.0,22,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-11.nc,2016-8-4-5-30,154,154,2016,8,4,5,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000037200,17017.11
23,23.0,23.0,23,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-24.nc,2016-8-4-12-0,167,167,2016,8,4,12,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000040320,17017.24
24,24.0,24.0,24,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-28.nc,2016-8-4-14-0,171,171,2016,8,4,14,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000041280,17017.28
25,25.0,25.0,25,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-46.nc,2016-8-4-23-0,189,189,2016,8,4,23,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000045600,17017.46
26,26.0,26.0,26,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-06.nc,2016-8-4-3-0,149,149,2016,8,4,3,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000036000,17017.06
27,27.0,27.0,27,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-14.nc,2016-8-4-7-0,157,157,2016,8,4,7,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000037920,17017.14
28,28.0,28.0,28,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-41.nc,2016-8-4-20-30,184,184,2016,8,4,20,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000044400,17017.41
29,29.0,29.0,29,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-43.nc,2016-8-4-21-30,186,186,2016,8,4,21,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000044880,17017.43
30,30.0,30.0,30,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-44.nc,2016-8-4-22-0,187,187,2016,8,4,22,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000045120,17017.44
31,31.0,31.0,31,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-13.nc,2016-8-4-6-30,156,156,2016,8,4,6,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000037680,17017.13
32,32.0,32.0,32,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-22.nc,2016-8-4-11-0,165,165,2016,8,4,11,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000039840,17017.22
33,33.0,33.0,33,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-26.nc,2016-8-4-13-0,169,169,2016,8,4,13,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000040800,17017.26
34,34.0,34.0,34,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-19.nc,2016-8-4-9-30,162,162,2016,8,4,9,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000039120,17017.19
35,35.0,35.0,35,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-35.nc,2016-8-4-17-30,178,178,2016,8,4,17,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000042960,17017.35
36,36.0,36.0,36,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-25.nc,2016-8-4-12-30,168,168,2016,8,4,12,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000040560,17017.25
37,37.0,37.0,37,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-27.nc,2016-8-4-13-30,170,170,2016,8,4,13,30,DYAMOND_9216x4608x74_7.5s_4km_4608_0000041040,17017.27
38,38.0,38.0,38,data/fiolleau/DYAMOND/TOOCAN/TOOCAN_v2.07/GLOBAL/2016/2016_08_04/ImageSegTOOCAN_20160804-02.nc,2016-8-4-1-0,145,145,2016,8,4,1,0,DYAMOND_9216x4608x74_7.5s_4km_4608_0000035040,17017.02
